name,category,ingredients,missing_allowed,time,difficulty,calories
蛋炒飯,飯類,"雞蛋,白飯,蔥,醬油",1,15,簡單,550
番茄炒蛋,家常菜,"番茄,雞蛋,蔥,鹽",1,10,簡單,300
泡菜豬肉鍋,鍋物,"泡菜,豬肉,豆腐,高麗菜",2,25,中等,650
蔥花蛋餅,早餐,"雞蛋,蔥,麵粉,牛奶",2,15,簡單,420
鮪魚玉米吐司,早餐,"吐司,鮪魚,玉米,美乃滋",1,8,簡單,480
雞蛋豆腐煎,家常菜,"雞蛋,豆腐,蔥,醬油",1,12,簡單,360
蒜香義大利麵,義式,"義大利麵,蒜頭,橄欖油,辣椒",2,20,中等,520
奶油菇菇義大利麵,義式,"義大利麵,蘑菇,牛奶,奶油",2,25,中等,620
味噌豆腐湯,湯品,"味噌,豆腐,海帶芽,蔥",2,15,簡單,180
高麗菜炒肉片,家常菜,"高麗菜,豬肉,蒜頭,醬油",1,15,簡單,430
馬鈴薯燉肉,家常菜,"馬鈴薯,豬肉,紅蘿蔔,洋蔥",2,35,中等,680
咖哩飯,飯類,"咖哩塊,白飯,馬鈴薯,紅蘿蔔,雞肉",2,30,中等,720
泡麵加蛋,快速料理,"泡麵,雞蛋,青菜",1,8,簡單,520
蔬菜蛋花湯,湯品,"雞蛋,青菜,蔥,鹽",1,10,簡單,160
韓式泡菜炒飯,飯類,"泡菜,白飯,雞蛋,蔥",1,15,簡單,580
三明治,早餐,"吐司,雞蛋,火腿,生菜",2,10,簡單,430
水果優格碗,輕食,"優格,香蕉,蘋果,燕麥",2,8,簡單,320
雞胸肉沙拉,輕食,"雞胸肉,生菜,玉米,番茄",2,18,簡單,390
麻婆豆腐,家常菜,"豆腐,絞肉,辣豆瓣醬,蔥",2,20,中等,560
親子丼,日式,"白飯,雞蛋,雞肉,洋蔥,醬油",2,20,中等,650
大阪燒,日式,"高麗菜,雞蛋,麵粉,豬肉",2,25,中等,620
香蕉燕麥煎餅,甜點,"香蕉,燕麥,雞蛋,牛奶",2,15,簡單,380
地瓜雞肉碗,健康餐,"地瓜,雞胸肉,青菜,雞蛋",2,25,中等,520
玉米濃湯,湯品,"玉米,牛奶,奶油,洋蔥",2,20,簡單,350
鮭魚茶泡飯,日式,"白飯,鮭魚,海苔,茶",2,12,簡單,460
