restaurant_name,review_text
八方雲集,鍋貼出餐快速而且價格便宜，午餐不知道吃什麼時很方便。
八方雲集,口味穩定但尖峰時間要排隊，偶爾會覺得太鹹。
八方雲集,份量足又划算，外帶速度快，會想回訪。
逢甲拉麵,湯頭濃郁，麵條口感好，冷天吃很舒服。
逢甲拉麵,價格偏貴而且座位少，熱門時段會等很久。
逢甲拉麵,叉燒入味，服務親切，整體推薦。
校門口便當,便當價格便宜，份量足，出餐快速。
校門口便當,菜色普通但很方便，適合趕時間。
校門口便當,環境乾淨，主菜穩定，CP 值不錯。
麻辣燙,湯底香，配料選擇多，喜歡吃辣的人會推薦。
麻辣燙,辣度偏高，偶爾太鹹，排隊時間比較長。
麻辣燙,價格合理，份量足，冬天吃很舒服。
暖心火鍋,湯頭濃郁，座位舒服，適合聚餐。
暖心火鍋,價格偏貴，出餐速度慢，尖峰時段等很久。
暖心火鍋,食材新鮮，服務親切，整體用餐體驗好。
清涼飲料店,飲料便宜，出餐快速，夏天很方便。
清涼飲料店,甜度選擇多，店員親切，會回訪。
清涼飲料店,熱門時段排隊，但整體速度還算穩定。
午後甜點店,甜點好吃，環境舒服，很適合心情不好時來。
午後甜點店,價格偏貴，座位少，假日容易擁擠。
午後甜點店,蛋糕新鮮，服務親切，整體推薦。
涼麵店,涼麵爽口，價格便宜，夏天吃很適合。
涼麵店,醬汁味道淡，份量普通，但出餐快速。
涼麵店,環境乾淨，外帶方便，CP 值不錯。
雞排大王,雞排酥脆，份量足，價格划算。
雞排大王,油膩感比較重，排隊時間有時偏久。
雞排大王,香味很足，心情不好時很療癒。
咖哩專賣店,咖哩濃郁，飯量足，整體好吃。
咖哩專賣店,價格中等，尖峰時間出餐稍慢。
咖哩專賣店,口味穩定，環境乾淨，會回訪。
滷肉飯小館,滷肉飯便宜又入味，出餐快速。
滷肉飯小館,座位少但翻桌快，適合省錢。
滷肉飯小館,口味偏鹹，不過份量和價格很划算。
韓式拌飯,配菜新鮮，味道香，適合想吃飽。
韓式拌飯,價格偏貴，出餐速度普通。
韓式拌飯,辣度剛好，份量足，整體推薦。
越南河粉,湯頭清爽，份量足，吃起來舒服。
越南河粉,出餐速度普通，座位稍微擁擠。
越南河粉,價格合理，口味穩定，會回訪。
健康沙拉吧,食材新鮮，熱量負擔低，環境乾淨。
健康沙拉吧,價格偏貴，份量少，男生可能吃不飽。
健康沙拉吧,出餐快速，適合想吃清爽的人。
義大利麵館,義大利麵濃郁好吃，環境舒服。
義大利麵館,價格偏貴，出餐速度慢。
義大利麵館,適合聚餐，服務親切，會回訪。
牛肉麵店,湯頭濃郁，牛肉入味，冷天很推薦。
牛肉麵店,價格中等偏高，但份量足。
牛肉麵店,尖峰時間排隊，出餐速度普通。
早餐蛋餅店,蛋餅便宜，出餐快速，早上很方便。
早餐蛋餅店,環境普通但口味穩定。
早餐蛋餅店,價格划算，適合趕課前買。
日式丼飯,丼飯醬汁入味，份量足。
日式丼飯,價格偏貴，座位少。
日式丼飯,環境乾淨，服務親切，整體推薦。
壽司小店,食材新鮮，壽司好吃，適合想吃清爽。
壽司小店,價格偏貴，尖峰時間排隊。
壽司小店,環境乾淨，服務親切，會回訪。
泰式打拋豬,味道香，辣度明顯，白飯很搭。
泰式打拋豬,太辣的人可能不適合，價格中等。
泰式打拋豬,出餐速度穩定，份量足。
水餃之家,水餃便宜，份量足，出餐快速。
水餃之家,口味穩定但環境普通。
水餃之家,CP 值高，適合省錢。
燒臘便當,燒臘香，份量足，價格合理。
燒臘便當,熱門時段排隊，菜有時冷掉。
燒臘便當,出餐快速，外帶方便。
鐵板燒,食材新鮮，現炒很香，適合聚餐。
鐵板燒,價格偏貴，油煙味比較重。
鐵板燒,服務親切，份量足，整體推薦。
素食自助餐,菜色多，價格便宜，份量可自己控制。
素食自助餐,環境普通，尖峰時間擁擠。
素食自助餐,清爽不油膩，CP 值不錯。
豆花冰店,豆花滑順，價格便宜，夏天很舒服。
豆花冰店,座位少但翻桌快。
豆花冰店,甜度剛好，出餐快速，會回訪。
鹽酥雞攤,鹽酥雞酥脆，香味足，宵夜很適合。
鹽酥雞攤,油膩感重，排隊時間有點久。
鹽酥雞攤,價格合理，份量足。
鍋燒意麵,湯頭熱，出餐快速，冷天很方便。
鍋燒意麵,味道普通，料有時偏少。
鍋燒意麵,價格便宜，外帶方便。
早午餐店,餐點選擇多，環境舒服，適合聊天。
早午餐店,價格偏貴，假日等很久。
早午餐店,服務親切，份量足，整體推薦。
港式燒賣,燒賣入味，點心選擇多。
港式燒賣,份量少，價格中等偏高。
港式燒賣,出餐速度穩定，適合簡單吃。
小火鍋,湯頭穩定，份量足，冷天很推薦。
小火鍋,座位少，熱門時段排隊。
小火鍋,價格合理，食材新鮮。
羊肉爐,湯頭濃郁，羊肉入味，適合冬天聚餐。
羊肉爐,價格偏貴，出餐速度慢。
羊肉爐,份量足，環境舒服，整體推薦。
冰品店,冰品清爽，價格合理，夏天很舒服。
冰品店,座位少，假日排隊。
冰品店,出餐快速，甜度剛好。
手作漢堡,漢堡多汁，份量足，口味好吃。
手作漢堡,價格偏貴，出餐稍慢。
手作漢堡,環境舒服，適合聚餐。
平價炒飯,炒飯便宜，出餐快速，份量足。
平價炒飯,味道偏油膩，環境普通。
平價炒飯,CP 值高，適合省錢。
臭豆腐,臭豆腐酥脆，醬料香，價格便宜。
臭豆腐,味道重，座位少。
臭豆腐,出餐快速，宵夜很適合。
拉亞早餐,早餐選擇多，出餐快速，價格合理。
拉亞早餐,熱門時間排隊，座位少。
拉亞早餐,口味穩定，適合趕時間。
咖啡輕食館,環境舒服，咖啡香，適合休息。
咖啡輕食館,價格偏貴，份量少。
咖啡輕食館,服務親切，餐點新鮮。
麻辣香鍋,香味足，配料多，適合重口味。
麻辣香鍋,太辣，價格偏貴，排隊時間長。
麻辣香鍋,份量足，口味濃郁。
烤肉飯,烤肉香，價格合理，份量足。
烤肉飯,有時太鹹，尖峰時間排隊。
烤肉飯,出餐快速，外帶方便。
蔬食義麵,蔬食清爽，環境乾淨，口味穩定。
蔬食義麵,價格偏貴，出餐速度普通。
蔬食義麵,適合想吃素食的人，會回訪。
