ingredient,recipe_name,knowledge_id,steps,tips,source_name,verified_date,產地,有效期限
"雞蛋,白飯,蔥,醬油",蛋炒飯,KB-R001,"雞蛋打散；蔥切末|熱鍋炒熟雞蛋後先盛起|加入白飯炒散並以醬油調味|放回雞蛋與蔥花拌炒均勻",隔夜飯較容易炒得粒粒分明,專題團隊審核食譜庫,2026-06-20,依各食材包裝標示,依各食材保存期限判定
"番茄,雞蛋,蔥,鹽",番茄炒蛋,KB-R002,"番茄切塊；雞蛋打散；蔥切末|炒熟雞蛋後先盛起|番茄下鍋炒軟並加少量鹽|放回雞蛋與蔥花拌勻",番茄先炒軟能釋放更多湯汁,專題團隊審核食譜庫,2026-06-20,依各食材包裝標示,依各食材保存期限判定
"泡菜,豬肉,豆腐,高麗菜",泡菜豬肉鍋,KB-R003,"豬肉切片；豆腐與高麗菜切塊|鍋中加入泡菜與適量水煮滾|加入豬肉與高麗菜煮熟|放入豆腐再煮三分鐘",泡菜本身有鹹度應先試味道再調味,專題團隊審核食譜庫,2026-06-20,依各食材包裝標示,依各食材保存期限判定
"雞蛋,蔥,麵粉,牛奶",蔥花蛋餅,KB-R004,"麵粉與牛奶攪拌成麵糊|雞蛋加入蔥花打散|平底鍋煎麵糊至定型|倒入蛋液後翻面煎熟並捲起",麵糊靜置五分鐘口感更均勻,專題團隊審核食譜庫,2026-06-20,依各食材包裝標示,依各食材保存期限判定
"吐司,鮪魚,玉米,美乃滋",鮪魚玉米吐司,KB-R005,"鮪魚瀝乾後與玉米及美乃滋拌勻|吐司表面鋪上鮪魚玉米餡|使用平底鍋或烤箱加熱|對切後即可食用",鮪魚先瀝乾可避免吐司過濕,專題團隊審核食譜庫,2026-06-20,依各食材包裝標示,依各食材保存期限判定
"雞蛋,豆腐,蔥,醬油",雞蛋豆腐煎,KB-R006,"豆腐切片並擦乾表面|雞蛋打散後加入蔥花|豆腐兩面煎至金黃|倒入蛋液並以少量醬油調味後煎熟",豆腐表面擦乾可減少油濺,專題團隊審核食譜庫,2026-06-20,依各食材包裝標示,依各食材保存期限判定
"義大利麵,蒜頭,橄欖油,辣椒",蒜香義大利麵,KB-R007,"義大利麵依包裝時間煮熟並保留煮麵水|蒜頭與辣椒切片|小火炒香蒜片與辣椒|加入麵條與少量煮麵水拌炒乳化",蒜片使用小火避免焦苦,專題團隊審核食譜庫,2026-06-20,依各食材包裝標示,依各食材保存期限判定
"義大利麵,蘑菇,牛奶,奶油",奶油菇菇義大利麵,KB-R008,"義大利麵煮熟並保留煮麵水|蘑菇切片後炒至出水|加入奶油與牛奶小火加熱|放入麵條拌勻並調整濃度",醬汁不要大火久煮以免油水分離,專題團隊審核食譜庫,2026-06-20,依各食材包裝標示,依各食材保存期限判定
"味噌,豆腐,海帶芽,蔥",味噌豆腐湯,KB-R009,"豆腐切丁；海帶芽泡開；蔥切末|清水煮滾後加入豆腐與海帶芽|關小火後以湯汁溶解味噌|倒回鍋中拌勻並撒上蔥花",味噌加入後避免持續大滾,專題團隊審核食譜庫,2026-06-20,依各食材包裝標示,依各食材保存期限判定
"高麗菜,豬肉,蒜頭,醬油",高麗菜炒肉片,KB-R010,"高麗菜切片；豬肉切片；蒜頭切末|豬肉炒至變色後先盛起|蒜末爆香後加入高麗菜炒軟|放回豬肉並以醬油調味",菜梗先下鍋可讓熟度一致,專題團隊審核食譜庫,2026-06-20,依各食材包裝標示,依各食材保存期限判定
"馬鈴薯,豬肉,紅蘿蔔,洋蔥",馬鈴薯燉肉,KB-R011,"馬鈴薯紅蘿蔔與洋蔥切塊；豬肉切片|豬肉與洋蔥炒香|加入馬鈴薯紅蘿蔔與水煮滾|轉小火燉至食材軟熟並調味",馬鈴薯不要切太小以免燉煮時碎裂,專題團隊審核食譜庫,2026-06-20,依各食材包裝標示,依各食材保存期限判定
"咖哩塊,白飯,馬鈴薯,紅蘿蔔,雞肉",咖哩飯,KB-R012,"雞肉與蔬菜切塊|雞肉與洋蔥炒香|加入馬鈴薯紅蘿蔔與水燉熟|關火加入咖哩塊溶解後再小火煮濃並配白飯",加入咖哩塊前先關火較不易結塊,專題團隊審核食譜庫,2026-06-20,依各食材包裝標示,依各食材保存期限判定
"泡麵,雞蛋,青菜",泡麵加蛋,KB-R013,"鍋中加入適量水煮滾|放入泡麵與青菜|麵條散開後加入雞蛋|煮至蛋熟並加入適量調味粉",調味粉可減量以降低鈉含量,專題團隊審核食譜庫,2026-06-20,依各食材包裝標示,依各食材保存期限判定
"雞蛋,青菜,蔥,鹽",蔬菜蛋花湯,KB-R014,"青菜洗淨切段；雞蛋打散；蔥切末|清水煮滾後加入青菜|以細流倒入蛋液並輕推形成蛋花|加鹽調味並撒上蔥花",蛋液倒入後不要過度攪拌,專題團隊審核食譜庫,2026-06-20,依各食材包裝標示,依各食材保存期限判定
